kind,feb_2020_bn,apr_2020_bn,change_pct
Department stores,10.82,6.21,-42.6
Online & other nonstore,63.3,75.27,18.9
Clothing stores,22.04,2.73,-87.6
Grocery stores,57.67,63.86,10.7
Electronics & appliance,7.21,3.3,-54.3
"Sporting goods, hobby, books",6.38,3.54,-44.6
Furniture stores,10.03,3.88,-61.2
Building materials & garden,31.85,31.58,-0.8
Health & personal care,29.23,26.15,-10.5
Motor vehicles & parts,101.45,64.33,-36.6
Gas stations,41.37,26.9,-35.0
Total retail,447.97,370.3,-17.3
