year_dec,quarter,share_pct
1999.75,1999-10,0.6
2000.0,2000-01,0.8
2000.25,2000-04,0.9
2000.5,2000-07,1.0
2000.75,2000-10,1.0
2001.0,2001-01,1.1
2001.25,2001-04,1.1
2001.5,2001-07,1.1
2001.75,2001-10,1.2
2002.0,2002-01,1.3
2002.25,2002-04,1.4
2002.5,2002-07,1.5
2002.75,2002-10,1.5
2003.0,2003-01,1.6
2003.25,2003-04,1.7
2003.5,2003-07,1.8
2003.75,2003-10,1.9
2004.0,2004-01,2.0
2004.25,2004-04,2.0
2004.5,2004-07,2.1
2004.75,2004-10,2.2
2005.0,2005-01,2.3
2005.25,2005-04,2.4
2005.5,2005-07,2.5
2005.75,2005-10,2.6
2006.0,2006-01,2.7
2006.25,2006-04,2.8
2006.5,2006-07,2.9
2006.75,2006-10,3.1
2007.0,2007-01,3.2
2007.25,2007-04,3.3
2007.5,2007-07,3.5
2007.75,2007-10,3.5
2008.0,2008-01,3.6
2008.25,2008-04,3.6
2008.5,2008-07,3.6
2008.75,2008-10,3.6
2009.0,2009-01,3.8
2009.25,2009-04,3.9
2009.5,2009-07,4.1
2009.75,2009-10,4.1
2010.0,2010-01,4.2
2010.25,2010-04,4.4
2010.5,2010-07,4.6
2010.75,2010-10,4.6
2011.0,2011-01,4.7
2011.25,2011-04,4.8
2011.5,2011-07,4.9
2011.75,2011-10,5.1
2012.0,2012-01,5.2
2012.25,2012-04,5.3
2012.5,2012-07,5.5
2012.75,2012-10,5.6
2013.0,2013-01,5.6
2013.25,2013-04,5.8
2013.5,2013-07,5.9
2013.75,2013-10,6.1
2014.0,2014-01,6.2
2014.25,2014-04,6.3
2014.5,2014-07,6.5
2014.75,2014-10,6.6
2015.0,2015-01,6.9
2015.25,2015-04,7.0
2015.5,2015-07,7.2
2015.75,2015-10,7.4
2016.0,2016-01,7.7
2016.25,2016-04,7.8
2016.5,2016-07,8.0
2016.75,2016-10,8.2
2017.0,2017-01,8.4
2017.25,2017-04,8.7
2017.5,2017-07,8.9
2017.75,2017-10,9.1
2018.0,2018-01,9.4
2018.25,2018-04,9.6
2018.5,2018-07,9.7
2018.75,2018-10,9.9
2019.0,2019-01,10.0
2019.25,2019-04,10.3
2019.5,2019-07,10.8
2019.75,2019-10,11.2
2020.0,2020-01,11.9
2020.25,2020-04,16.3
2020.5,2020-07,14.9
2020.75,2020-10,15.0
2021.0,2021-01,14.9
2021.25,2021-04,14.6
2021.5,2021-07,14.5
2021.75,2021-10,14.6
2022.0,2022-01,14.4
2022.25,2022-04,14.2
2022.5,2022-07,14.5
2022.75,2022-10,14.6
2023.0,2023-01,15.0
2023.25,2023-04,15.3
2023.5,2023-07,15.4
2023.75,2023-10,15.5
2024.0,2024-01,15.9
2024.25,2024-04,16.1
2024.5,2024-07,16.2
2024.75,2024-10,16.2
2025.0,2025-01,16.0
2025.25,2025-04,16.3
2025.5,2025-07,16.4
2025.75,2025-10,16.7
2026.0,2026-01,16.9
