kind,sales_1992_bn,sales_2024_bn,growth_x,share_1992_pct,share_2024_pct,peak_month,peak_bn,last_month,last_bn,note
Department stores,176.1,131.1,0.74,10.06,1.81,2001-01,19.9,2025-03,10.66,0.7× since 1992
Online & other nonstore,66.6,1413.0,21.23,3.8,19.51,2026-06,140.05,2026-07,136.9,21.2× since 1992
Clothing stores,116.1,302.0,2.6,6.63,4.17,2026-07,28.31,2026-07,28.31,2.6× since 1992
Grocery stores,331.8,890.3,2.68,18.96,12.29,2026-05,77.21,2026-07,76.99,2.7× since 1992
Electronics & appliance,46.9,90.9,1.94,2.68,1.25,2008-05,9.36,2026-07,8.11,1.9× since 1992
"Sporting goods, hobby, books",39.9,94.9,2.38,2.28,1.31,2026-06,8.94,2026-07,8.94,2.4× since 1992
Furniture stores,50.2,132.8,2.65,2.87,1.83,2023-01,12.65,2026-07,11.35,2.6× since 1992
Building materials & garden,129.1,486.9,3.77,7.38,6.72,2023-01,42.94,2026-07,42.58,3.8× since 1992
Health & personal care,88.4,442.7,5.01,5.05,6.11,2025-09,40.64,2026-07,40.51,5.0× since 1992
Motor vehicles & parts,406.5,1593.9,3.92,23.23,22.01,2026-06,143.99,2026-07,141.43,3.9× since 1992
Gas stations,153.7,629.7,4.1,8.78,8.69,2022-06,67.97,2026-07,59.88,4.1× since 1992
