year,Department stores,Online & other nonstore,Clothing stores,Grocery stores,Electronics & appliance,"Sporting goods, hobby, books",Furniture stores,Building materials & garden,Health & personal care,Motor vehicles & parts,Gas stations,All other stores,Total retail
1992,176.1,66.57,116.08,331.83,46.85,39.91,50.18,129.08,88.39,406.5,153.66,144.93,1750.09
1993,187.16,73.19,121.14,336.83,53.22,42.45,53.39,139.44,91.48,461.25,160.41,159.51,1879.47
1994,198.48,83.18,124.96,345.96,62.18,46.92,58.19,155.45,95.38,528.62,169.36,175.18,2043.89
1995,206.0,90.15,127.53,352.13,70.56,49.93,61.51,163.52,100.75,567.76,179.47,189.99,2159.29
1996,211.8,103.02,132.75,360.48,74.32,52.63,65.35,174.39,108.09,612.49,192.17,205.41,2292.88
1997,220.32,111.89,136.31,368.39,75.97,54.76,70.4,189.5,117.46,640.66,198.45,222.35,2406.45
1998,223.53,119.58,144.96,374.06,80.98,57.47,75.0,200.66,128.11,674.3,190.25,248.09,2516.98
1999,230.52,136.47,155.2,390.12,85.37,60.78,81.73,216.68,140.93,748.18,210.98,276.34,2733.29
2000,231.63,164.89,162.94,397.43,88.66,64.33,88.77,227.79,153.43,778.37,248.0,303.6,2909.84
2001,228.78,164.94,163.44,414.49,86.31,65.42,89.03,236.69,164.79,800.08,250.08,330.17,2994.22
2002,221.87,172.57,167.85,416.09,89.49,66.03,91.84,246.18,178.11,801.45,249.06,356.62,3057.17
2003,214.67,188.24,173.94,424.09,90.82,67.0,93.84,260.97,190.32,823.29,274.3,385.38,3186.87
2004,215.03,209.19,184.81,435.96,97.83,69.75,100.46,291.47,196.35,846.02,321.58,416.12,3384.57
2005,215.37,236.59,195.36,453.56,104.34,71.76,106.16,318.43,207.99,868.27,377.29,453.0,3608.11
2006,213.39,265.51,208.0,468.1,108.38,75.34,110.31,332.88,221.23,884.35,420.26,490.49,3798.23
2007,209.96,288.41,216.06,487.62,108.41,77.65,108.47,318.28,234.07,891.41,450.78,523.94,3915.06
2008,198.7,300.0,211.67,506.23,107.11,77.38,96.24,298.15,242.8,763.7,499.07,547.79,3848.83
2009,186.9,291.2,199.74,506.32,96.43,74.62,82.46,259.09,249.77,655.05,389.98,546.4,3537.96
2010,184.28,320.2,207.91,517.13,98.08,75.03,82.8,257.77,257.17,724.96,447.97,566.65,3739.95
2011,182.99,354.01,222.54,543.73,100.35,75.47,85.11,267.12,268.58,795.53,531.94,593.7,4021.05
2012,176.86,383.94,233.23,559.14,102.26,77.57,88.93,279.6,269.99,867.92,553.39,620.76,4213.59
2013,170.62,404.14,239.35,572.28,102.27,79.14,93.27,297.07,275.34,944.9,552.95,644.08,4375.42
2014,168.36,436.07,244.9,597.98,101.26,79.88,97.9,310.58,289.39,1008.19,545.73,668.7,4548.94
2015,164.78,469.07,250.43,612.77,99.05,82.0,105.2,321.56,301.93,1085.72,453.54,687.23,4633.26
2016,153.94,513.58,252.99,622.58,92.63,82.92,109.5,335.17,311.46,1130.46,433.19,703.7,4742.1
2017,146.69,576.47,254.79,650.42,91.25,80.83,113.0,347.6,320.02,1170.51,476.55,726.25,4954.37
2018,142.27,644.83,259.59,668.69,92.81,77.14,116.68,364.58,333.38,1186.39,522.23,752.44,5161.02
2019,134.89,717.05,260.96,691.23,89.66,76.07,118.11,370.47,342.56,1217.23,512.58,773.87,5304.69
2020,113.25,940.1,195.48,754.42,72.94,79.51,110.76,416.31,348.99,1188.66,429.27,814.12,5463.81
2021,133.22,1080.38,281.05,789.9,92.78,98.35,138.05,477.23,380.97,1449.86,570.75,897.87,6390.4
2022,136.3,1195.33,293.01,854.03,91.7,98.74,140.62,508.65,397.28,1496.69,731.72,971.18,6915.25
2023,133.17,1314.38,296.38,874.54,90.63,98.41,136.11,492.51,430.07,1563.0,651.63,1001.67,7082.52
2024,131.1,1412.97,302.04,890.26,90.88,94.94,132.85,486.9,442.73,1593.86,629.71,1034.93,7243.16
