year,kind,sales_bn,share_pct
1992,Department stores,176.1,10.06
1992,Online & other nonstore,66.57,3.8
1992,Clothing stores,116.08,6.63
1992,Grocery stores,331.83,18.96
1992,Electronics & appliance,46.85,2.68
1992,"Sporting goods, hobby, books",39.91,2.28
1992,Furniture stores,50.18,2.87
1992,Building materials & garden,129.08,7.38
1992,Health & personal care,88.39,5.05
1992,Motor vehicles & parts,406.5,23.23
1992,Gas stations,153.66,8.78
1992,All other stores,144.93,8.28
1993,Department stores,187.16,9.96
1993,Online & other nonstore,73.19,3.89
1993,Clothing stores,121.14,6.45
1993,Grocery stores,336.83,17.92
1993,Electronics & appliance,53.22,2.83
1993,"Sporting goods, hobby, books",42.45,2.26
1993,Furniture stores,53.39,2.84
1993,Building materials & garden,139.44,7.42
1993,Health & personal care,91.48,4.87
1993,Motor vehicles & parts,461.25,24.54
1993,Gas stations,160.41,8.53
1993,All other stores,159.51,8.49
1994,Department stores,198.48,9.71
1994,Online & other nonstore,83.18,4.07
1994,Clothing stores,124.96,6.11
1994,Grocery stores,345.96,16.93
1994,Electronics & appliance,62.18,3.04
1994,"Sporting goods, hobby, books",46.92,2.3
1994,Furniture stores,58.19,2.85
1994,Building materials & garden,155.45,7.61
1994,Health & personal care,95.38,4.67
1994,Motor vehicles & parts,528.62,25.86
1994,Gas stations,169.36,8.29
1994,All other stores,175.18,8.57
1995,Department stores,206.0,9.54
1995,Online & other nonstore,90.15,4.17
1995,Clothing stores,127.53,5.91
1995,Grocery stores,352.13,16.31
1995,Electronics & appliance,70.56,3.27
1995,"Sporting goods, hobby, books",49.93,2.31
1995,Furniture stores,61.51,2.85
1995,Building materials & garden,163.52,7.57
1995,Health & personal care,100.75,4.67
1995,Motor vehicles & parts,567.76,26.29
1995,Gas stations,179.47,8.31
1995,All other stores,189.99,8.8
1996,Department stores,211.8,9.24
1996,Online & other nonstore,103.02,4.49
1996,Clothing stores,132.75,5.79
1996,Grocery stores,360.48,15.72
1996,Electronics & appliance,74.32,3.24
1996,"Sporting goods, hobby, books",52.63,2.3
1996,Furniture stores,65.35,2.85
1996,Building materials & garden,174.39,7.61
1996,Health & personal care,108.09,4.71
1996,Motor vehicles & parts,612.49,26.71
1996,Gas stations,192.17,8.38
1996,All other stores,205.41,8.96
1997,Department stores,220.32,9.16
