year_dec,month,Department stores,Online & other nonstore,Clothing stores,Grocery stores,Electronics & appliance,"Sporting goods, hobby, books",Furniture stores,Building materials & garden,Health & personal care,Motor vehicles & parts,Gas stations,Total retail
1992.0,1992-01,14.134,5.416,9.459,27.465,3.743,3.103,4.087,10.698,7.313,32.679,12.652,142.419
1992.0833,1992-02,14.472,5.096,9.444,27.352,3.782,3.228,4.177,10.842,7.364,32.806,12.399,142.584
1992.1667,1992-03,14.543,5.038,9.325,27.338,3.773,3.249,4.172,10.876,7.356,32.453,12.45,142.12
1992.25,1992-04,14.529,5.372,9.61,27.471,3.835,3.278,4.182,10.666,7.423,32.951,12.507,143.659
1992.3333,1992-05,14.634,5.573,9.477,27.589,3.85,3.305,4.159,10.657,7.395,33.197,12.679,144.239
1992.4167,1992-06,14.597,5.68,9.622,27.586,3.843,3.357,4.239,10.715,7.323,33.912,12.696,145.273
1992.5,1992-07,14.469,5.875,9.709,27.891,3.993,3.372,4.195,10.66,7.194,34.599,12.801,146.743
1992.5833,1992-08,14.729,5.744,9.886,27.795,3.922,3.359,4.202,10.792,7.471,33.159,12.902,146.07
1992.6667,1992-09,14.816,5.732,9.833,27.641,3.952,3.383,4.182,10.881,7.322,35.042,13.003,147.932
1992.75,1992-10,14.87,5.703,9.904,28.153,4.031,3.413,4.13,10.845,7.452,35.174,13.14,149.346
1992.8333,1992-11,14.994,5.704,9.824,27.791,4.016,3.4,4.193,10.723,7.41,34.964,13.196,149.131
1992.9167,1992-12,15.31,5.638,9.991,27.76,4.112,3.463,4.26,10.729,7.371,35.563,13.235,150.578
1993.0,1993-01,15.334,5.739,10.278,27.746,4.281,3.493,4.468,11.217,7.437,36.088,13.243,152.329
1993.0833,1993-02,15.119,5.811,9.889,27.999,4.208,3.4,4.339,11.343,7.566,35.748,13.413,151.742
1993.1667,1993-03,14.985,6.037,9.601,27.891,4.265,3.455,4.304,11.111,7.509,35.239,13.295,150.525
1993.25,1993-04,15.406,5.883,10.017,28.037,4.322,3.536,4.392,11.366,7.595,37.718,13.402,154.72
1993.3333,1993-05,15.523,6.081,10.089,28.028,4.359,3.536,4.473,11.599,7.591,37.792,13.345,155.537
1993.4167,1993-06,15.517,5.892,10.071,27.91,4.441,3.509,4.446,11.571,7.599,37.925,13.25,155.353
1993.5,1993-07,15.757,6.014,10.29,28.358,4.49,3.54,4.473,11.656,7.672,39.345,13.355,158.267
1993.5833,1993-08,15.775,6.04,10.094,27.865,4.488,3.544,4.48,11.757,7.61,39.289,13.18,157.425
1993.6667,1993-09,15.785,6.313,10.263,28.124,4.579,3.561,4.468,11.632,7.673,39.375,13.237,158.535
1993.75,1993-10,15.985,6.346,10.162,28.235,4.546,3.556,4.499,11.801,7.686,39.654,13.614,159.773
1993.8333,1993-11,15.987,6.6,10.174,28.271,4.598,3.65,4.528,12.198,7.692,41.141,13.589,162.004
