year_dec,kind,sales_bn
1992.0,Department stores,14.134
1992.0,Online & other nonstore,5.416
1992.0,Clothing stores,9.459
1992.0,Grocery stores,27.465
1992.0,Electronics & appliance,3.743
1992.0,"Sporting goods, hobby, books",3.103
1992.0,Furniture stores,4.087
1992.0,Building materials & garden,10.698
1992.0,Health & personal care,7.313
1992.0,Motor vehicles & parts,32.679
1992.0,Gas stations,12.652
1992.0833,Department stores,14.472
1992.0833,Online & other nonstore,5.096
1992.0833,Clothing stores,9.444
1992.0833,Grocery stores,27.352
1992.0833,Electronics & appliance,3.782
1992.0833,"Sporting goods, hobby, books",3.228
1992.0833,Furniture stores,4.177
1992.0833,Building materials & garden,10.842
1992.0833,Health & personal care,7.364
1992.0833,Motor vehicles & parts,32.806
1992.0833,Gas stations,12.399
1992.1667,Department stores,14.543
1992.1667,Online & other nonstore,5.038
1992.1667,Clothing stores,9.325
1992.1667,Grocery stores,27.338
1992.1667,Electronics & appliance,3.773
1992.1667,"Sporting goods, hobby, books",3.249
1992.1667,Furniture stores,4.172
1992.1667,Building materials & garden,10.876
1992.1667,Health & personal care,7.356
1992.1667,Motor vehicles & parts,32.453
1992.1667,Gas stations,12.45
1992.25,Department stores,14.529
1992.25,Online & other nonstore,5.372
1992.25,Clothing stores,9.61
1992.25,Grocery stores,27.471
1992.25,Electronics & appliance,3.835
1992.25,"Sporting goods, hobby, books",3.278
1992.25,Furniture stores,4.182
1992.25,Building materials & garden,10.666
1992.25,Health & personal care,7.423
1992.25,Motor vehicles & parts,32.951
1992.25,Gas stations,12.507
1992.3333,Department stores,14.634
1992.3333,Online & other nonstore,5.573
1992.3333,Clothing stores,9.477
1992.3333,Grocery stores,27.589
1992.3333,Electronics & appliance,3.85
1992.3333,"Sporting goods, hobby, books",3.305
1992.3333,Furniture stores,4.159
1992.3333,Building materials & garden,10.657
1992.3333,Health & personal care,7.395
1992.3333,Motor vehicles & parts,33.197
1992.3333,Gas stations,12.679
1992.4167,Department stores,14.597
1992.4167,Online & other nonstore,5.68
1992.4167,Clothing stores,9.622
1992.4167,Grocery stores,27.586
1992.4167,Electronics & appliance,3.843
1992.4167,"Sporting goods, hobby, books",3.357
1992.4167,Furniture stores,4.239
1992.4167,Building materials & garden,10.715
1992.4167,Health & personal care,7.323
1992.4167,Motor vehicles & parts,33.912
1992.4167,Gas stations,12.696
1992.5,Department stores,14.469
1992.5,Online & other nonstore,5.875
1992.5,Clothing stores,9.709
1992.5,Grocery stores,27.891
1992.5,Electronics & appliance,3.993
1992.5,"Sporting goods, hobby, books",3.372
1992.5,Furniture stores,4.195
1992.5,Building materials & garden,10.66
1992.5,Health & personal care,7.194
1992.5,Motor vehicles & parts,34.599
1992.5,Gas stations,12.801
1992.5833,Department stores,14.729
1992.5833,Online & other nonstore,5.744
1992.5833,Clothing stores,9.886
1992.5833,Grocery stores,27.795
1992.5833,Electronics & appliance,3.922
1992.5833,"Sporting goods, hobby, books",3.359
1992.5833,Furniture stores,4.202
1992.5833,Building materials & garden,10.792
1992.5833,Health & personal care,7.471
1992.5833,Motor vehicles & parts,33.159
1992.5833,Gas stations,12.902
1992.6667,Department stores,14.816
1992.6667,Online & other nonstore,5.732
1992.6667,Clothing stores,9.833
1992.6667,Grocery stores,27.641
1992.6667,Electronics & appliance,3.952
1992.6667,"Sporting goods, hobby, books",3.383
1992.6667,Furniture stores,4.182
1992.6667,Building materials & garden,10.881
1992.6667,Health & personal care,7.322
1992.6667,Motor vehicles & parts,35.042
1992.6667,Gas stations,13.003
1992.75,Department stores,14.87
1992.75,Online & other nonstore,5.703
1992.75,Clothing stores,9.904
1992.75,Grocery stores,28.153
1992.75,Electronics & appliance,4.031
1992.75,"Sporting goods, hobby, books",3.413
1992.75,Furniture stores,4.13
1992.75,Building materials & garden,10.845
1992.75,Health & personal care,7.452
1992.75,Motor vehicles & parts,35.174
1992.75,Gas stations,13.14
1992.8333,Department stores,14.994
1992.8333,Online & other nonstore,5.704
1992.8333,Clothing stores,9.824
1992.8333,Grocery stores,27.791
1992.8333,Electronics & appliance,4.016
1992.8333,"Sporting goods, hobby, books",3.4
1992.8333,Furniture stores,4.193
1992.8333,Building materials & garden,10.723
1992.8333,Health & personal care,7.41
1992.8333,Motor vehicles & parts,34.964
1992.8333,Gas stations,13.196
1992.9167,Department stores,15.31
1992.9167,Online & other nonstore,5.638
1992.9167,Clothing stores,9.991
1992.9167,Grocery stores,27.76
1992.9167,Electronics & appliance,4.112
1992.9167,"Sporting goods, hobby, books",3.463
1992.9167,Furniture stores,4.26
1992.9167,Building materials & garden,10.729
1992.9167,Health & personal care,7.371
1992.9167,Motor vehicles & parts,35.563
1992.9167,Gas stations,13.235
1993.0,Department stores,15.334
1993.0,Online & other nonstore,5.739
1993.0,Clothing stores,10.278
1993.0,Grocery stores,27.746
1993.0,Electronics & appliance,4.281
1993.0,"Sporting goods, hobby, books",3.493
1993.0,Furniture stores,4.468
1993.0,Building materials & garden,11.217
1993.0,Health & personal care,7.437
1993.0,Motor vehicles & parts,36.088
1993.0,Gas stations,13.243
1993.0833,Department stores,15.119
1993.0833,Online & other nonstore,5.811
1993.0833,Clothing stores,9.889
1993.0833,Grocery stores,27.999
1993.0833,Electronics & appliance,4.208
1993.0833,"Sporting goods, hobby, books",3.4
1993.0833,Furniture stores,4.339
1993.0833,Building materials & garden,11.343
1993.0833,Health & personal care,7.566
1993.0833,Motor vehicles & parts,35.748
1993.0833,Gas stations,13.413
1993.1667,Department stores,14.985
1993.1667,Online & other nonstore,6.037
1993.1667,Clothing stores,9.601
1993.1667,Grocery stores,27.891
1993.1667,Electronics & appliance,4.265
1993.1667,"Sporting goods, hobby, books",3.455
1993.1667,Furniture stores,4.304
1993.1667,Building materials & garden,11.111
1993.1667,Health & personal care,7.509
1993.1667,Motor vehicles & parts,35.239
1993.1667,Gas stations,13.295
1993.25,Department stores,15.406
1993.25,Online & other nonstore,5.883
1993.25,Clothing stores,10.017
1993.25,Grocery stores,28.037
1993.25,Electronics & appliance,4.322
1993.25,"Sporting goods, hobby, books",3.536
1993.25,Furniture stores,4.392
1993.25,Building materials & garden,11.366
1993.25,Health & personal care,7.595
1993.25,Motor vehicles & parts,37.718
1993.25,Gas stations,13.402
1993.3333,Department stores,15.523
1993.3333,Online & other nonstore,6.081
1993.3333,Clothing stores,10.089
1993.3333,Grocery stores,28.028
1993.3333,Electronics & appliance,4.359
1993.3333,"Sporting goods, hobby, books",3.536
1993.3333,Furniture stores,4.473
1993.3333,Building materials & garden,11.599
1993.3333,Health & personal care,7.591
1993.3333,Motor vehicles & parts,37.792
1993.3333,Gas stations,13.345
1993.4167,Department stores,15.517
1993.4167,Online & other nonstore,5.892
1993.4167,Clothing stores,10.071
1993.4167,Grocery stores,27.91
1993.4167,Electronics & appliance,4.441
1993.4167,"Sporting goods, hobby, books",3.509
1993.4167,Furniture stores,4.446
1993.4167,Building materials & garden,11.571
1993.4167,Health & personal care,7.599
1993.4167,Motor vehicles & parts,37.925
1993.4167,Gas stations,13.25
1993.5,Department stores,15.757
1993.5,Online & other nonstore,6.014
1993.5,Clothing stores,10.29
1993.5,Grocery stores,28.358
1993.5,Electronics & appliance,4.49
1993.5,"Sporting goods, hobby, books",3.54
1993.5,Furniture stores,4.473
1993.5,Building materials & garden,11.656
1993.5,Health & personal care,7.672
1993.5,Motor vehicles & parts,39.345
1993.5,Gas stations,13.355
